시도명,시군구명,대피소명,주소,수용가능인원수,면적(㎡),경도,위도,비고,내진적용여부,해변에서의거리(m),긴급대피장소,대피소분류명,해발높이
city_name,gun_name,shelter_name,address,accept_limit,size,longitude,latitude,note,earthquake_proof,beach_distance,emergency_shelter,classify_shelter_name,sea_height
강원도,동해시,노봉택지,강원도 동해시 망상동 14-5,400,,129.1054990,37.5821130,,,,,,
강원도,동해시,노봉해변내 야산,강원도 동해시 망상동 162-30,400,,129.0981970,37.5883110,,,,,,
강원도,동해시,고래화석박물관 앞,강원도 동해시 망상동 360-20,2000,,129.0896910,37.5911250,,,,,,
강원도,동해시,해군전적비,강원도 동해시 망상동 396-13,3000,,129.0846860,37.5938660,,,,,,
강원도,동해시,기곡마을 입구,강원도 동해시 망상동 409-14,5000,,129.0803120,37.5963070,,,,,,
강원도,동해시,임산물유통센터,강원도 동해시 망상동 721,400,,129.1007760,37.5811560,,,,,,
강원도,동해시,논골도로,강원도 동해시 묵호진동 102-9,200,,129.1163020,37.5541410,,,,,,
강원도,동해시,일출공원,강원도 동해시 묵호진동 2-126,100,,129.1203700,37.5552290,,,,,,
강원도,동해시,동해비취호텔위마을주차장,강원도 동해시 묵호진동 2-42,100,,129.1207620,37.5578700,,,,,,
강원도,동해시,산지골도로,강원도 동해시 묵호진동 78-60,200,,129.1134240,37.5544710,,,,,,
강원도,동해시,묵호대교,강원도 동해시 발한동 80-303,300,,129.1111060,37.5416080,,,,,,
강원도,동해시,선창횟집 뒤,강원도 동해시 어달동 25,100,,129.1192770,37.5627940,,,,,,
강원도,동해시,바위섬횟집,강원도 동해시 어달동 11-11,100,,129.1190510,37.5607400,,,,,,
강원도,동해시,어달마을내 도로,강원도 동해시 어달동 134-5,400,,129.1175590,37.5670300,,,,,,
강원도,동해시,어달 소공원,강원도 동해시 어달동 47,400,,129.1187970,37.5655090,,,,,,
강원도,동해시,한섬 주차장,강원도 동해시 천곡동 1090-14,100,,129.1197680,37.5227660,,,,,,
강원도,동해시,감추사 주차장,강원도 동해시 천곡동 1090-28,30,,129.1235040,37.5166810,,,,,,
강원도,동해시,가세마을 야산,강원도 동해시 천곡동 1-4,100,,129.1213890,37.5288880,,,,,,
강원도,동해시,추암조각공원,강원도 동해시 추암동 477,400,,129.1573630,37.4796950,,,,,,
강원도,동해시,평릉공원,강원도 동해시 평릉동 102-2,100,,129.1117110,37.5353170,,,,,,
강원도,동해시,하평 주차장,강원도 동해시 평릉동 84-1,50,,129.1157480,37.5339010,,,,,,
강원도,삼척시,삼척mbc앞 공터,강원도 삼척시 갈천동 111,150,,129.1634870,37.4636240,,,,,,
강원도,삼척시,삼척 요양원앞 공터,강원도 삼척시 교동 394-1,150,,129.1743880,37.4621480,,,,,,
강원도,삼척시,조각공원 뒷산,강원도 삼척시 교동 85-2,50,,129.1847170,37.4565420,,,,,,
강원도,삼척시,마을공터,강원도 삼척시 근덕면 241-3,100,,129.2666910,37.3302490,,,,,,
강원도,삼척시,관덕정앞 공터,강원도 삼척시 근덕면 교가리 692-2,300,,129.2231350,37.3803780,,,,,,
강원도,삼척시,공양왕릉앞 공터,강원도 삼척시 근덕면 궁촌리 178,100,,129.2661400,37.3263250,,,,,,
강원도,삼척시,궁촌침례교회앞 공터,강원도 삼척시 근덕면 궁촌리 393-1,100,,129.2652890,37.3211380,,,,,,
강원도,삼척시,노인요양원앞 공터,강원도 삼척시 근덕면 덕산리 40-1,100,,129.2478870,37.3785040,,,,,,
강원도,삼척시,금메달주유소 뒷산,강원도 삼척시 근덕면 매원리 35-4,100,,129.2714010,37.3165670,,,,,,
강원도,삼척시,맹방초등학교,강원도 삼척시 근덕면 상맹방리 171-1,200,,129.2131390,37.3982250,,,,,,
강원도,삼척시,성황당옆 대로,강원도 삼척시 근덕면 용화리 298-1,100,,129.2982220,37.2885660,,,,,,
강원도,삼척시,마을뒤 공터,강원도 삼척시 근덕면 용화리 40-1,100,,129.3069580,37.2882810,,,,,,
